NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,23,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,24,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,25,,,,,,
"Daniela Magalhães Prates","PRATES, D. M.","1","",,,,,26,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","2","4629153708503919",,,,,26,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,27,,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,0,,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,0,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,1,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,2,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,3,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,4,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,5,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,6,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,7,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,8,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,9,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,10,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,11,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,12,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,13,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,14,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,15,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,16,,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,0,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,1,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,2,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,3,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,4,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,5,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,6,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,7,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,8,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,9,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,,,,,9,,,
"Maria Cristina Penido de Freitas","FREITAS, Maria Cristina Penido de","3","4428674657578467",,,,,,,,9,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,10,,,
"Priscila Moretti Capellato","CAPELLATO, Priscila Moretti","2","",,,,,,,,10,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,11,,,
"Luís Fernando Brugnerotto","BRUGNEROTTO, Luís Fernando","2","",,,,,,,,11,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,12,,,
"Adriana Jungbluth","JUNGBLUTH, Adriana","2","",,,,,,,,12,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,13,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,14,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,,,,,14,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,15,,,
"Maria Cristina Penido de Freitas","FREITAS, Maria Cristina Penido de","2","4428674657578467",,,,,,,,15,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","3","4989183279921217",,,,,,,,15,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,16,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,17,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,18,,,
"Roberto Alexandre Z. Borghi","BORGHI, R. A. Z.","2","0218092571931491",,,,,,,,18,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,19,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,20,,,
"Maryse Farhi","FARHI, Maryse;FARHI, MARYSE","1","4629153708503919",,,,,,,,21,,,
"Daniela Magalhães Prates","PRATES, Daniela Magalhães","2","4989183279921217",,,,,,,,21,,,
