DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PREFACIO-POSFACIO_Id,SOFTWARE_Id,PRODUTO-TECNOLOGICO_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id
"The paper published in ICEIS 2013 with the title "Perspectives
on using Actor-Network Theory and Organizational Semiotics to Address
Organizational Evolution" has been selected to be included in
the "Lecture Notes", more specifically in the series "Business Information
Processing" (LNBIP) published by Springer-Verlag. This book will include the
updated and extended versions of only a short list of selected papers from
ICEIS 2013.","",248,,,,,,,,,,,,,
"paper recebeu Menção Honrosa do XII Simpósio Brasileiro sobre Fatores Humanos em Sistemas Computacionais IHC 2013.","",250,,,,,,,,,,,,,
"DOI: 10.5753/CBIE.SBIE.2013.788","",255,,,,,,,,,,,,,
"DOI: 10.5753/CBIE.SBIE.2013.748","",256,,,,,,,,,,,,,
"Best Paper Award in the Area of Human-Computer Interaction","Best Paper Award in the Area of Human-Computer Interaction",258,,,,,,,,,,,,,
"co-autoria de aluna de doutorado e colaboradores internacionais.

pagina do evento: http://www.inf.unioeste.br/ihc14

Best Paper Award.","",269,,,,,,,,,,,,,
"co-autoria de alunos de doutorado.
homepage do evento: http://www.inf.unioeste.br/ihc14","",270,,,,,,,,,,,,,
"co-autoria de pos-doc e alunos de doutorado;
homepage do evento: http://csbc2014.cic.unb.br/index.php/semish","",271,,,,,,,,,,,,,
"co-autoria de pos-doc e aluno de mestrado;
pagina do evento: http://www.tise.cl/2014BETA/index.html","",272,,,,,,,,,,,,,
"co-autora de ex-aluno de doutorado e professor colaborador de universidade italiana.
http://link.springer.com/book/10.1007/978-3-319-11200-8","",273,,,,,,,,,,,,,
"co-autoria de alunos de Doutorado e Mestrado","",274,,,,,,,,,,,,,
"co-autoria de colegas de outras instituições, colegas da mesma instituição, posdoc e mestre","",276,,,,,,,,,,,,,
"Menção Honrosa, 2o. melhor paper da Conferência.
Co-autoria de aluno de graduação.","",282,,,,,,,,,,,,,
"Authors: Julio Cesar dos Reis 1 , Cristiane Jensen 2 , Rodrigo Bonacin 3 , Heiko Hornung 1 and M. Cecilia C. Baranauskas 1

Affiliations: 1 University of Campinas, Brazil , 2 Faculty of Campo Limpo Paulista, Brazil , 3 Faculty of Campo Limpo Paulista and Center for Information Technology Renato Archer, Brazil


The paper that you have presented at ICEIS 2016 with number 109 and
> entitled "Expressive Icons for the Communication of Intentions" has
> been selected to be included in a book of selected papers of the
> LNBIP series published by Springer.","",289,,,,,,,,,,,,,
"29/11 a 1/12 2016 Santiago, Chile","",300,,,,,,,,,,,,,
"29/11 a 1/12 2016 Santiago, Chile","",301,,,,,,,,,,,,,
"","co-autoria de pos-doutorando e colaborador do CTI Renato Archer.",302,,,,,,,,,,,,,
"participação de prof. da FEEC UNICAMP","",304,,,,,,,,,,,,,
"revista indexada (ISI)","",,2,,,,,,,,,,,,
"revista indexada (ISI)","",,4,,,,,,,,,,,,
"revista indexada (ISI)","",,6,,,,,,,,,,,,
"revista indexada (ISI)","",,7,,,,,,,,,,,,
"revista indexada (ISI)","",,8,,,,,,,,,,,,
"revista indexada (ISI)","",,10,,,,,,,,,,,,
"revista indexada (ISI)","",,11,,,,,,,,,,,,
"revista indexada (ISI)","",,12,,,,,,,,,,,,
"Inderscience Enterprises Ltda.","",,13,,,,,,,,,,,,
"deSignis, publicación semestral en forma de colección, es el resultado de un proyecto colectivo impulsado por la Comisión Ejecutiva de la Federación Latinoamericana de Semiótica, iniciado durante su IV congreso Internacional celebrado en La Coruña en 1999. Desde entonces, se sucedieron una serie de encuentros de trabajo en París y en Buenos Aires que culminaron en febrero de 2001 en la primera reunión del comité de redacción de la revista que tuvo lugar en la Maison de l?Amérique Latine en París con un coloquio ?Escribir sobre/la semiología hoy?. Quisieramos señalar que los miembros que integran la redacción de deSignis son los mismos ?salvo contadísimas excepciones? miembros fundadores de la Federación (1987), testimonio elocuente no sólo de un profundo compromiso intelectual con la disciplina sino de una verdadera conciencia ?nos atreveríamos a decir hasta pasional? de la necesidad imperiosa de la integración cultural íbero y lusoamericana a partir, precisamente, de las particularidades regionales.
Comité Patrocinante: Tomás Maldonado, Eliseo Verón (Argentina) ; Haroldo de Campos (Brasil) ; ? Gerad Deledalle (Francia) ; Umberto Eco, Paolo Fabbri (Italia) ; ? Thomas Sebeok (USA)","",,14,,,,,,,,,,,,
"Revista Qualis A nacional na área de Ciências Sociais Aplicadas I da CAPES

aceita para publicação em março (vol.8, n.1, março/agosto de 2006)","",,15,,,,,,,,,,,,
"MIT Press Design Issues - Interaction Design Research in Human-Computer Interaction
URL: http://www.mitpressjournals.org/loi/desi","MIT Press Design Issues - Interaction Design Research in Human-Computer Interaction
URL: http://www.mitpressjournals.org/loi/desi",,16,,,,,,,,,,,,
"participação de duas orientadas de Doutorado e Mestrado, respectivamente, já concluídos.","participação de duas orientadas de Doutorado e Mestrado, respectivamente, já concluídos.",,17,,,,,,,,,,,,
"co-autoria de ex-alunos de doutorado.

Accessibility and interoperability in e-government systems: outlining an
inclusive development process
Journal Universal Access in the Information Society
Publisher Springer Berlin / Heidelberg
ISSN 1615-5289 (Print) 1615-5297 (Online)
Category Long Paper
DOI 10.1007/s10209-009-0157-0
Subject Collection Computer Science
SpringerLink Date Friday, July 24, 2009","co-autoria de ex-alunos de doutorado.

Accessibility and interoperability in e-government systems: outlining an
inclusive development process
Journal Universal Access in the Information Society
Publisher Springer Berlin / Heidelberg
ISSN 1615-5289 (Print) 1615-5297 (Online)
Category Long Paper
DOI 10.1007/s10209-009-0157-0
Subject Collection Computer Science
SpringerLink Date Friday, July 24, 2009",,19,,,,,,,,,,,,
"colaboração com pesquisadores estrangeiros.","",,20,,,,,,,,,,,,
"co-autoria de orientados de mestrado e de doutorado.

a ser publicada em Novembro de 2008.","",,21,,,,,,,,,,,,
"co-autoria de aluna de iniciação científica e aluno de doutorado.

a ser publicada em Novembro de 2008.","",,22,,,,,,,,,,,,
"co-autoria de ex-aluna de mestrado; cooperação com pesquisadores de outro estado.","",,23,,,,,,,,,,,,
"Universidad de Manizales, Manizales, Colombia","",,24,,,,,,,,,,,,
"co-autoria de ex-orientado de mestrado.","",,25,,,,,,,,,,,,
"co-autoria de orientado de iniciação científica.","",,26,,,,,,,,,,,,
"co-autoria de orientado de mestrado.

IGI Gobal","",,27,,,,,,,,,,,,
"IGI Global
IJISSC july-september 2011","",,28,,,,,,,,,,,,
"co-autoria de alunos de doutorado","",,29,,,,,,,,,,,,
"co-autoria de aluno de doutorado.

IADIS INTERNATIONAL JOURNAL ON WWW/INTERNET 
ISSN: 1645-7641
http://www.iadis.org/ijwi/","",,30,,,,,,,,,,,,
"IGI Global","",,31,,,,,,,,,,,,
"Published by Infonomics Society 
www.infonomics-society.org

International Journal for Infonomics (IJI), Volume 3, Issue 4, December 2010","",,32,,,,,,,,,,,,
"Publicação periódica dos materiais dos minicursos do SBIE organizada pela Comissão Especial em Informática na Educação (CEIE) da Sociedade Brasileira de Computação","",,34,,,,,,,,,,,,
"vol1, Issue 1/2, March/June 2011 pp 10-18
ISSN: 20464568 (online)
http://www.infonomics-society.org/IJeLS","",,35,,,,,,,,,,,,
"http://www.infonomics-society.org/IJDS","",,36,,,,,,,,,,,,
"aceito em junho 2012 para publicação.

published online 16 February 2013
 Springer-Verlag Berlin Heidelberg","",,39,,,,,,,,,,,,
"Resultados do Projeto "XO na Escola e Fora dela: uma proposta semio-participativa para tecnologia, educação e sociedade." 
CNPq 475105/2010-9","",,41,,,,,,,,,,,,
"JETS special issue on ?Innovative technologies for the seamless integration of formal and informal learning?
Guest Editor(s): Patrizia Ghislandi, Maria Grazia Ierardi, Tommaso Leo and Luca Spalazzi","",,42,,,,,,,,,,,,
"Copyright Inderscience Enterprises Ltd.","",,44,,,,,,,,,,,,
"IJWBC vol 9 n. 4

www.inderscience.com/ijwbc

H index 18

ISSN online 1741-8216
ISSN print 14778394","",,45,,,,,,,,,,,,
"Springer
available as "Online First" on SpringerLink;
it will be assigned to a specific journal issue soon.","",,46,,,,,,,,,,,,
"co-autoria de ex-aluno de doutorado
journal homepage: www.elsevier.com/locate/ijhcs","",,48,,,,,,,,,,,,
"co-autoria de pos-doc","",,49,,,,,,,,,,,,
"co-autoria de pos-doc e pesquisadores de outras instituições","",,50,,,,,,,,,,,,
"","DOI: http://dx.doi.org/10.1504/ijtis.2015.074645",,52,,,,,,,,,,,,
