PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,TRABALHO-TECNICO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-POS-DOUTORADO_Id
"Provenance","data quality","eScience","","","",,,,,38,,,,,,,,,,,,,,
"Data organization","eScience","","","","",,,,,39,,,,,,,,,,,,,,
"geospatial data","Multiscale processing","Versions in databases","","","",,,,,40,,,,,,,,,,,,,,
"eScience","","","","","",,,,,41,,,,,,,,,,,,,,
"Graph Databases","Geographic Information Retrieval","","","","",,,,,42,,,,,,,,,,,,,,
"eScience","crop classification","","","","",,,,,43,,,,,,,,,,,,,,
"Web semantica","Scientific workflows","Documentacao de artefatos","","","",,,,,44,,,,,,,,,,,,,,
"Geospatial data processing","","","","","",,,,,,0,,,,,,,,,,,,,
"Sistemas Geograficos, Bancos de Dados","","","","","",,,,,,1,,,,,,,,,,,,,
"Bancos de dados geograficos","","","","","",,,,,,,0,,,,,,,,,,,,
"Bancos de Dados","Modelagem de dados","","","","",,,,,,,1,,,,,,,,,,,,
"Bancos de Dados, Sistemas Geograficos","Sistemas Geograficos, Ambiente de Modelagem","SIG","Sistemas de informacao geografica","Sistemas de Aplicacoes Geograficas","",,,,,,,2,,,,,,,,,,,,
"Bancos de dados geograficos","Sistemas de Aplicacoes Geograficas","Mineração de dados Web","","","",,,,,,,3,,,,,,,,,,,,
"Bancos de Dados, Sistemas Geograficos","","","","","",,,,,,,4,,,,,,,,,,,,
"Geographic Information Retrieval","sensor network","Volunteer data acquisition","","","",,,,,,,5,,,,,,,,,,,,
"Bancos de dados geograficos","Bancos de Dados Temporais","","","","",,,,,,,,0,,,,,,,,,,,
"Bancos de Dados","Ensino de bancos de dados","","","","",,,,,,,,1,,,,,,,,,,,
"Sistemas Geograficos, Ambiente de Modelagem","","","","","",,,,,,,,2,,,,,,,,,,,
"Bancos de Dados","","","","","",,,,,,,,,0,,,,,,,,,,
"Geomarketing","","","","","",,,,,,,,,1,,,,,,,,,,
"Bancos de dados de imagens","Bibliotecas Digitais","Sistema de informacao, biodiversidade","","","",,,,,,,,,2,,,,,,,,,,
"Integração de dados heterogêneos","","","","","",,,,,,,,,3,,,,,,,,,,
"Sistema de informacao, biodiversidade","Digital Libraries","Busca por conteudo","","","",,,,,,,,,4,,,,,,,,,,
"Workflows Cientificos","Bioinformatica","","","","",,,,,,,,,5,,,,,,,,,,
