SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"208","The Image Foresting Transform: Recent Advances and Perspectives","Participações em eventos(Congresso)","The Image Foresting Transform: Recent Advances and Perspectives",11
"209","Fast interactive segmentation of natural images using the Image Foresting Transform","Participações em eventos(Congresso)","Fast interactive segmentation of natural images using the Image Foresting Transform",11
"210","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest","Participações em eventos(Congresso)","Fast and Accurate Holistic Face Recognition using Optimum-Path Forest",11
"211","SPIE on Medical Imaging: Visualization, Image-Guided Procedures and Display.","Organização de evento(Congresso)","",11
"212","Intl. Symp. on Visual Computing","Organização de evento(Congresso)","",11
"218","Improving User Control with Minimum Involvement in User-Guided Segmentation by Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",11
"219","Fast Non-Technical Losses Identification Through Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"222","Robust and Fast Vowel Recognition using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"223","Fast Automatic Microstructural Segmentation of Ferrous Alloy Samples using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",11
"224","A Novel and Powerful Framework for Supervised Graph-based Pattern Recognition Techniques","Trabalho publicado em anais de eventos(Completo)","",11
"225","Exploiting optimum connectivity in image analysis","Artigo publicado em periódicos(Completo)","",11
"71","Object Detection by kappa-connected seed competition","Trabalho publicado em anais de eventos(Completo)","",12
"72","TSD: A Shape Descriptor Based on a Distribution of Tensor Scale Local Orientation","Trabalho publicado em anais de eventos(Completo)","",12
"73","A New Framework to Combine Descriptors for Content-Based Image Retrieval","Trabalho publicado em anais de eventos(Resumido)","",12
"86","Recent Advances in Mammography, Breast Imaging, and Computer-aided Diagnosis of Breast Cancer","Capítulo de livro publicado","",12
"87","3D visualization to assist iterative object definition from medical images","Artigo publicado em periódicos(Completo)","3D visualization to assist iterative object definition from medical images",12
"92","Tree-pruning: A new algorithm and its comparative analysis with the watershed transform for automatic image segmentation","Trabalho publicado em anais de eventos(Completo)","",12
"94","Content-Based Image Retrieval: Theory and Applications","Artigo publicado em periódicos(Completo)","",12
"97","Análise de Imagens de Parasitos Intestinais do Homem: Uma Realidade","Trabalho publicado em anais de eventos(Resumido)","",12
"98","Sistema para Diagnóstico de Parasitos Intestinais por Análise Computadorizada de Imagens","Produto Tecnológico(Projeto)","",12
"99","Fast and Automatic Curvilinear Reformatting of MR Images of the Brain for Diagnosis of Dysplastic Lesions","Trabalho publicado em anais de eventos(Completo)","",12
"107","Contour salience descriptors for effective image retrieval and analysis.","Artigo publicado em periódicos(Completo)","",12
"108","Detecting Contour Saliences using Tensor Scale","Trabalho publicado em anais de eventos(Completo)","",12
"109","A new shape descriptor based on Tensor Scale","Trabalho publicado em anais de eventos(Completo)","",12
"110","A Partitioned Algorithm for the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",12
"111","Design of Robust Pattern Classifiers based on Optimum-Path Forests","Trabalho publicado em anais de eventos(Completo)","",12
"112","Image Segmentation by the Image Foresting Transform","Trabalho publicado em anais de eventos(Completo)","",12
"113","Ambiente de Gerenciamento de Imagens e Dados Espaciais para Desenvolvimento de Aplicações em Biodiversidade","Trabalho publicado em anais de eventos(Completo)","",12
"114","Dynamic Meshes for Deformable Surfaces","Trabalho publicado em anais de eventos(Resumido)","",12
"117","Supervised Pattern Classification by Optimum Path Forest","Participações em eventos(Congresso)","",12
"118","Desenvolvimento de um sistema computacional para o diagnóstico de enteroparasitoses","Participações em eventos(Congresso)","",12
"122","XX Brazilian Symposium on Computer Graphics and Image Processing (Program Chairs)","Organização de evento(Congresso)","",12
"123","Conference on Information and Knowledge Managements (Technical Committee)","Organização de evento(Congresso)","",12
"124","IXX Brazilian Symposium on Computer Graphics and Image Processing (Program Committee)","Organização de evento(Congresso)","",12
"125","XVIII Brazilian Symposium on Computer Graphics and Image Processing (Program Committee)","Organização de evento(Congresso)","",12
"129","8th International Symposium on Mathematical Morphology (Program Commitee)","Organização de evento(Congresso)","",12
"131","A Linear-Time Approach for Image Segmentation using Graph-Cut Measures","Trabalho publicado em anais de eventos(Completo)","",12
"132","Fast and Automatic Curvilinear Reformatting of MR Images of the Brain for Diagnosis of Dysplastic Lesions","Participações em eventos(Simpósio)","",12
"135","The Image Foresting Transform from the Image Domain to the Feature Space","Participações em eventos(Simpósio)","",12
"137","Rotation-invariant Texture Recognition","Trabalho publicado em anais de eventos(Completo)","",12
"138","Automatic Image Segmentation by Tree Pruning","Artigo publicado em periódicos(Completo)","",12
"140","The Image Forest Transform Architecture","Trabalho publicado em anais de eventos(Completo)","",12
"156","Proceedings of SIBGRAPI 2007: XX Brazilian Symposium on Computer Graphics and Image Processing.","Organização de obra publicada","",12
"164","Proceedings of SIBGRAPI 2007: XX Brazilian Symposium on Computer Graphics and Image Processing","Editoração(Anais)","",12
"168","Sistema para Diagóstico de Parasitos Intestinais por Análise Computadorizada de Imagens e Uso do Referido Sistema","Produto Tecnológico(Projeto)","",12
"220","Método de Preparação de Amostra Coproparasitológica Fecal e Composição Clarificante.","Produto Tecnológico(Projeto)","",13
"229","Robust Pruning of Training Patterns for Optimum-Path Forest Classification Applied to Satellite-Based Rainfall Occurrence Estimation","Artigo publicado em periódicos(Completo)","",13
"236","Improving the accuracy of the optimum-path forest supervised classifier for large datasets","Trabalho publicado em anais de eventos(Completo)","",13
"240","Optimizing Optimum-Path Forest Classification for Huge Datasets","Trabalho publicado em anais de eventos(Completo)","",13
"242","Multimodal Pattern Recognition Through Particle Swarm Optimization","Trabalho publicado em anais de eventos(Completo)","",13
"246","Optimizing Optimum-Path Forest Classification for Huge Datasets","Participações em eventos(Congresso)","",13
"252","Comparison of Fuzzy Connectedness and Graph Cut Segmentation Algorithms","Trabalho publicado em anais de eventos(Completo)","",13
"253","Design of Optimum-Path Forest Classifiers and their Applications in Image Analysis","Participações em eventos(Congresso)","",13
"261","Feature Selection Through Gravitational Search Algorithm","Trabalho publicado em anais de eventos(Completo)","",13
"190","Shape feature extraction and description based on tensor scale","Artigo publicado em periódicos(Completo)","Shape feature extraction and description based on tensor scale",14
"222","Robust and Fast Vowel Recognition using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",14
"223","Fast Automatic Microstructural Segmentation of Ferrous Alloy Samples using Optimum-Path Forest","Trabalho publicado em anais de eventos(Completo)","",14
"229","Robust Pruning of Training Patterns for Optimum-Path Forest Classification Applied to Satellite-Based Rainfall Occurrence Estimation","Artigo publicado em periódicos(Completo)","",14
"230","A new CBIR Approach based on Relevance Feedback and Optimum-Path Forest Classification","Artigo publicado em periódicos(Completo)","",14
"231","Fast Petroleum Well Drilling Monitoring Through Optimum-Path Forest","Artigo publicado em periódicos(Completo)","Fast Petroleum Well Drilling Monitoring Through Optimum-Path Forest",14
"237","Intelligent understanding of user input applied to arc-weight estimation for graph-based foreground segmentation","Trabalho publicado em anais de eventos(Completo)","",14
"238","How to complete any segmentation process interactively via image foresting transform","Trabalho publicado em anais de eventos(Completo)","",14
"240","Optimizing Optimum-Path Forest Classification for Huge Datasets","Trabalho publicado em anais de eventos(Completo)","",14
"241","Application of Optimum-Path Forest Classifier for Synthetic Material Porosity Segmentation","Trabalho publicado em anais de eventos(Completo)","",14
"242","Multimodal Pattern Recognition Through Particle Swarm Optimization","Trabalho publicado em anais de eventos(Completo)","",14
"243","Learning to identify non-technical losses with optimum-path forest","Trabalho publicado em anais de eventos(Completo)","",14
"245","Parkinson´s disease identification through optimum-path forest","Trabalho publicado em anais de eventos(Completo)","",14
"246","Optimizing Optimum-Path Forest Classification for Huge Datasets","Participações em eventos(Congresso)","",14
"250","Estimativa de ocorrência de precipitação em áreas agrícolas utilizando floresta de caminhos","Artigo publicado em periódicos(Completo)","",14
"251","Fuzzy Object Modelling","Trabalho publicado em anais de eventos(Completo)","",14
"252","Comparison of Fuzzy Connectedness and Graph Cut Segmentation Algorithms","Trabalho publicado em anais de eventos(Completo)","",14
"253","Design of Optimum-Path Forest Classifiers and their Applications in Image Analysis","Participações em eventos(Congresso)","",14
"258","A new symmetry-based method for mid-sagittal plane extraction in neuroimages","Trabalho publicado em anais de eventos(Completo)","",14
"259","How to Fix any 3D Segmentation Interactively via Image Foresting Transform and its use in MRI Brain Segmentation","Trabalho publicado em anais de eventos(Completo)","",14
"260","Metallic Precipitates Segmentation from Scanning Electron Microscope Images Through Machine Learning Techniques","Trabalho publicado em anais de eventos(Completo)","",14
"261","Feature Selection Through Gravitational Search Algorithm","Trabalho publicado em anais de eventos(Completo)","",14
"267","User-Steered Image Segmentation Using Live Markers","Trabalho publicado em anais de eventos(Completo)","",14
"269","Incorporating multiple distance spaces in optimum-path forest classification to improve feedback-based learning","Artigo publicado em periódicos(Completo)","Incorporating multiple distance spaces in optimum-path forest classification to improve feedback-based learning",14
"271","What is the importance of selecting features for non-technical losses identification?","Trabalho publicado em anais de eventos(Completo)","What is the importance of selecting features for non-technical losses identification?",14
"272","The Riverbed Approach for User-steered Image Segmentation","Trabalho publicado em anais de eventos(Completo)","",14
"273","Automatic Subcortical Tissue Segmentation of MR Images using Optimum-Path Forest Clustering","Trabalho publicado em anais de eventos(Completo)","",14
"274","Person-specific face representation for recognition","Trabalho publicado em anais de eventos(Completo)","",14
"275","Elucidating the relations among seed-based image segmentation methods and their possible extensions.","Trabalho publicado em anais de eventos(Completo)","",14
"277","Brain Tissue MR-Image Segmentation via Optimum-Path Forest Clustering","Trabalho publicado em anais de eventos(Completo)","",14
"278","Interactive Classification of Remote Sensing Images by using Optimum-Path Forest and Genetic Programming","Trabalho publicado em anais de eventos(Completo)","",14
"279","Spoken emotion recognition through optimum-path forest classification using glottal features","Artigo publicado em periódicos(Completo)","",14
"251","Fuzzy Object Modelling","Trabalho publicado em anais de eventos(Completo)","",15
"252","Comparison of Fuzzy Connectedness and Graph Cut Segmentation Algorithms","Trabalho publicado em anais de eventos(Completo)","",15
"260","Metallic Precipitates Segmentation from Scanning Electron Microscope Images Through Machine Learning Techniques","Trabalho publicado em anais de eventos(Completo)","",15
"261","Feature Selection Through Gravitational Search Algorithm","Trabalho publicado em anais de eventos(Completo)","",15
"9","Prontomask: An image masking tool","Software(Computacional)","",16
"62","ProntoVideo: An image sequence segmentation tool applied to video edition","Trabalho publicado em anais de eventos(Resumido)","",16
