NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,OUTRA-PRODUCAO-TECNICA_Id
"Edimar Cesar Rylo","RYLO, E. C.","2","7462096912445959",88,,,,,,,,,,,
"Gustavo Camargo Longhin","LONGHIN, G. C.","3","9121612523149859",88,,,,,,,,,,,
"Tiago Luis Duarte Forti","FORTI, T. L. D.","4","9586074227742751",88,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",89,,,,,,,,,,,
"João Alberto Venegas Requena","Requena, J. A. V.","2","2449625191630738",89,,,,,,,,,,,
"Tiago Luís Duarte Forti","FORTI, T. L. D.","3","9586074227742751",89,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",90,,,,,,,,,,,
"Sonia Maria Gomes","GOMES, S. M.","2","6979417654874483",90,,,,,,,,,,,
"Tiago Forti","FORTI, T.","3","9586074227742751",90,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",91,,,,,,,,,,,
"Tiago Luis Duarte Forti","FORTI, T. L. D.","2","9586074227742751",91,,,,,,,,,,,
"Agnaldo Monteiro Farias","FARIAS, A. M.","3","2401725550781559",91,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","4","7462096912445959",91,,,,,,,,,,,
"(Paulo Cesar de Alvarenga Lucci","LUCCI, P. C. A.","5","5381087404504911",91,,,,,,,,,,,
"Agnaldo Monteiro Farias","FARIAS, A. M.","1","2401725550781559",92,,,,,,,,,,,
"Sonia Maria Gomes","GOMES, S. M.","2","6979417654874483",92,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","3","6051486998967925",92,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",93,,,,,,,,,,,
"Sonia Maria Gomes","GOMES, S. M.","2","6979417654874483",93,,,,,,,,,,,
"MOZOLEVSKI, I","MOZOLEVSKI, I","3","",93,,,,,,,,,,,
"GONÇALVES, J.L","GONÇALVES, J.L","4","2719190119956611",93,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",94,,,,,,,,,,,
"Cedric Marcelo Augusto Ayala Bravo","BRAVO, C. M. A. A.","2","3642648349492905",94,,,,,,,,,,,
"Edimar Cesar Rylo","RYLO, E. C.","3","7462096912445959",94,,,,,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.;DEVLOO, PHILIPPE R.B.;Devloo, P. R. B.;P. R. B. Devloo;Devloo, Philippe R. B.","1","6051486998967925",95,,,,,,,,,,,
"Jorge Diaz Calle","CALLE, J. D.","2","2049910703027682",95,,,,,,,,,,,
"Sonia Maria Gomes","GOMES, S. M.","3","6979417654874483",95,,,,,,,,,,,
