PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,POS-DOUTORADO_Id,LINHA-DE-PESQUISA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SIMPOSIO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Finite Elements","","","","","",,,,,,,,,,,,,,,,,,4,,,,,
"Finite Elements","Hdiv Spaces","","","","",,,,,,,,,,,,,,,,,,5,,,,,
"Finite Elements","Goal oriented erros estimates","","","","",,,,,,,,,,,,,,,,,,6,,,,,
"Elementos Finitos","Computação Gráfica","Pós processamento","","","",,,,,,,,,,,,,,,,,,,1,,,,
"Elementos Finitos","Autocad","Programação orientada para objetos","","","",,,,,,,,,,,,,,,,,,,2,,,,
"Elementos Finitos","Programação orientada para objetos","Métodos adaptativas","","","",,,,,,,,,,,,,,,,,,,3,,,,
"Elementos Finitos","Análise estrutural","","","","",,,,,,,,,,,,,,,,,,,12,,,,
"Finite Elements","Eletromagnetismo","","","","",,,,,,,,,,,,,,,,,,,19,,,,
"Finite Elements","","","","","",,,,,,,,,,,,,,,,,,,20,,,,
"Parallel Computing","Finite Elements","","","","",,,,,,,,,,,,,,,,,,,21,,,,
"Finite Elements","Shell Structures","","","","",,,,,,,,,,,,,,,,,,,22,,,,
"Análise estrutural","Orientação a objetos","","","","",,,,,,,,,,,,,,,,,,,23,,,,
"Programação paralela","Elementos Finitos","Programação orientada para objetos","","","",,,,,,,,,,,,,,,,,,,25,,,,
"Computação Paralela","Elementos Finitos","problemas de autovalor","método de Arnoldi/Lanczos","","",,,,,,,,,,,,,,,,,,,,10,,,
"Métodos dos Elementos Finitos","Formulação Estabilizada","Escoamentos Imcompreensíveis","Malhas Adaptativas","Integração Reduzida","Paralelismo",,,,,,,,,,,,,,,,,,,,12,,,
"Métodos dos Elementos Finitos","Métodos multi-escalas","Métodos híbridos","Modelos de meios porosos","","",,,,,,,,,,,,,,,,,,,,14,,,
"Elementos Finitos","Métodos adaptativas","computação orientada para objetos","","","",,,,,,,,,,,,,,,,,,,,,68,,
"Elementos Finitos","computação orientada para objetos","","","","",,,,,,,,,,,,,,,,,,,,,69,,
"computação orientada para objetos","Métodos adaptativas","","","","",,,,,,,,,,,,,,,,,,,,,,0,
"Malhas Adaptativas","","","","","",,,,,,,,,,,,,,,,,,,,,,,1
