NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id
"Gabriela Fernandes Póvoa Faria","Faria, G.F.P","3","",26,,,,,,,
"Patrícia Henriques Nallin","Nallin, P.H.","4","",26,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","1","",27,,,,,,,
"Leila Giarola","GIAROLA, L.","2","",27,,,,,,,
"Welington Luiz Araújo","Araújo, W. L.","3","",27,,,,,,,
"Pedro Luís Rocha da Cruz","CRUZ, P. L. R.","1","8637795233593309",28,,,,,,,
"Leila Giarola","GIAROLA, L.","2","",28,,,,,,,
"Adriana Fu Vivian","VIVIAN, A. F.","3","",28,,,,,,,
"Suéllen da Silva Moraes","Moraes S. S.","4","",28,,,,,,,
"Suelen da Rocha Gomes","GOMES, S. R.","5","",28,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.","6","",28,,,,,,,
"Luiz Carlos Dias","DIAS, L. C.","1","2941335797138677",29,,,,,,,
"Luciana Gonzaga de Oliveira","De OLIVEIRA, L. G.;Oliveira, Luciana G. de;de Oliveira, Luciana Gonzaga;OLIVEIRA, LUCIANA GONZAGA DE;OLIVEIRA, LUCIANA G.;GONZAGA DE OLIVEIRA, LUCIANA;DE OLIVEIRA, LUCIANA G.","2","2259584579907307",29,,,,,,,
"Luiz Carlos Dias","DIAS, L. C.","1","2941335797138677",,0,,,,,,
