PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,OUTRA-PRODUCAO-TECNICA_Id,OUTRA-PRODUCAO-ARTISTICA-CULTURAL_Id,ARTES-CENICAS_Id,MUSICA_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,PARTICIPACAO-EM-BANCA-DE-GRADUACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,OUTRAS-PARTICIPACOES-EM-EVENTOS-CONGRESSOS_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Canto","Performance","interpretação","","","",,,,,,,,,,,,,,,,,,19,,,,,,,,,,
"canto coral","ensino musical","","","","",,,,,,,,,,,,,,,,,,,1,,,,,,,,,
"Cantar","Educação","Paulo Freire","","","",,,,,,,,,,,,,,,,,,,2,,,,,,,,,
"Educação Musical","canto popular","enisno","","","",,,,,,,,,,,,,,,,,,,3,,,,,,,,,
"canto popular","Ensino","Técnica Vocal","","","",,,,,,,,,,,,,,,,,,,4,,,,,,,,,
"canto popular","música brasileira","cantoras brasileiras","","","",,,,,,,,,,,,,,,,,,,5,,,,,,,,,
"canto popular","Ensino","latino-americano","","","",,,,,,,,,,,,,,,,,,,6,,,,,,,,,
"semiótica da canção","Análise do comportamento vocal","canção popular","","","",,,,,,,,,,,,,,,,,,,7,,,,,,,,,
"canto popular","Ensino","universidade publica","","","",,,,,,,,,,,,,,,,,,,8,,,,,,,,,
"BPI","Canto","Cultura caipira","","","",,,,,,,,,,,,,,,,,,,9,,,,,,,,,
"canto popular","Improvisação Vocal","Práticas Interpretativas","","","",,,,,,,,,,,,,,,,,,,10,,,,,,,,,
"Canto falado","Bossa Nova","Seconda Pratica","","","",,,,,,,,,,,,,,,,,,,11,,,,,,,,,
"canto popular","canção popular","scat singing","samba-jazz","","",,,,,,,,,,,,,,,,,,,12,,,,,,,,,
"canto popular","clube da esquina","Milton Nascimento","","","",,,,,,,,,,,,,,,,,,,,0,,,,,,,,
"partitura gráfica","interpretação musical","tensividade","","","",,,,,,,,,,,,,,,,,,,,1,,,,,,,,
