NOME_COMPLETO,NOME_PARA_CITACAO,FLAG_RESPONSAVEL,PROJETO_NOME
Edson Borin,"BORIN, E.;BORIN, EDSON",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Rodolfo Azevedo,"AZEVEDO, R.",SIM,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Sandro Rigo,"RIGO, S.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Paulo Cesar Centoducatte,"CENTODUCATTE, P. C.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Ricardo Ribeiro dos Santos,"SANTOS, R. R.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Guido Araujo,"ARAUJO, G.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Alexandro José Baldassin,"BALDASSIN, A. J.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Juliana Freitag Borin,"BORIN, J. F.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Ivan Rizzo Guilherme,"GUILHERME, I. R.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Renato Porfírio Ishii,"ISHII, R. P.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Fabricio Aparecido Breve,"BREVE, F. A.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Aparecido Nilceu Marana,"MARANA, A. N.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
João Paulo Papa,"PAPA, J. P.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Mario Cortes,"CORTES, M.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Edson Norberto Caceres,"CACERES, E. N.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Nahri Balesdent Moreano,"MOREANO, N. B.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Aleardo Manacero Junior,"MANACERO JUNIOR, A.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Carlos Roberto Valencio,"VALENCIO, C. R.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Renata Spolon Lobato,"LOBATO, R. S.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Roberta Spolon,"SPOLON, R.",NAO,Exploração de Paralelismo em Hardware e Software (PROCAD 2966/2014)
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Technologies for smart interaction with Mods and IoT devices
Sandro Rigo,"RIGO, S.",NAO,Technologies for smart interaction with Mods and IoT devices
Juliana Freitag Borin,"BORIN, J. F.",NAO,Technologies for smart interaction with Mods and IoT devices
Edson Borin,"BORIN, E.;BORIN, EDSON",SIM,Análise Estática para Detecção de Erros de Energia
Sandro Rigo,"RIGO, S.",NAO,Análise Estática para Detecção de Erros de Energia
