NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,SOFTWARE_Id,PATENTE_Id,PROCESSOS-OU-TECNICAS_Id,APRESENTACAO-DE-TRABALHO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id,DESENVOLVIMENTO-DE-MATERIAL-DIDATICO-OU-INSTRUCIONAL_Id,ORGANIZACAO-DE-EVENTO_Id
"MILLANI, CARLOS EDUARDO","MILLANI, CARLOS EDUARDO","2","",,8,,,,,,,,
"BRISIGHELLO, ALEXANDRE","BRISIGHELLO, ALEXANDRE","3","",,8,,,,,,,,
"LINHARES, ALISSON","LINHARES, ALISSON","4","",,8,,,,,,,,
"Edson Borin","BORIN, EDSON","5","",,8,,,,,,,,
"Flávia Pisani","PISANI, F.","1","",,9,,,,,,,,
"Daniel Carlos Guimarães Pedronette","PEDRONETTE, D. C. G.","2","3363615000303340",,9,,,,,,,,
"Ricardo da Silva Torres","TORRES, R. S.","3","3790201696145434",,9,,,,,,,,
"Edson Borin","BORIN, EDSON","4","",,9,,,,,,,,
"Caian Benedicto","BENEDICTO, C.","1","",,,0,,,,,,,
"Edson Borin","BORIN, E.","2","",,,0,,,,,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.","3","6051486998967925",,,0,,,,,,,
"Rafael Auler","AULER, R.","1","5072043911907640",,,1,,,,,,,
"Edson Borin","BORIN, E.","2","",,,1,,,,,,,
"Daniel Nicácio","NICÁCIO, D.","1","",,,2,,,,,,,
"Wesley Attrot","ATTROT, W.","2","5644676140910061",,,2,,,,,,,
"Guido Araújo","ARAUJO, G.","3","8683914780987242",,,2,,,,,,,
"Edson Borin","BORIN, E.","4","",,,2,,,,,,,
"Edson Borin","BORIN, EDSON","1","",,,,0,,,,,,
"Jeferson Brunetta","BRUNETTA, J.","2","",,,,0,,,,,,
"João Batista Corrêa Gomes Moreira","MOREIRA, J. B. C. G.","3","6120040174866328",,,,0,,,,,,
"Sandro Rigo","RIGO, S.","4","8308517667746974",,,,0,,,,,,
"Juliana Freitag Borin","BORIN, J. F.","5","",,,,0,,,,,,
"Gustavo Pedrosa","PEDROSA, G.","6","",,,,0,,,,,,
"Edson Borin","BORIN, E.","1","",,,,1,,,,,,
"Rodolfo Azevedo","AZEVEDO, R.","2","2046981671187343",,,,1,,,,,,
"Guido Araújo","ARAUJO, G.","3","8683914780987242",,,,1,,,,,,
"Paulo Castro","CASTRO, P.","4","",,,,1,,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","1","",,,,,0,,,,,
"Youfeng Wu","WU, Y.","2","",,,,,0,,,,,
"Cheng Wang","WANG, C.","3","",,,,,0,,,,,
"Edson Borin","BORIN, E.","4","",,,,,0,,,,,
"Shiliang Hu","HU, S.","5","",,,,,0,,,,,
"Craig Zilles","ZILLES, C.","6","",,,,,0,,,,,
"Edson Borin","BORIN, E.","1","",,,,,1,,,,,
"Cheng Wang","WANG, C.","2","",,,,,1,,,,,
"Youfeng Wu","WU, Y.","3","",,,,,1,,,,,
"João Paulo Porto","PORTO, J. P.","1","6749787014203446",,,,,2,,,,,
"Edson Borin","BORIN, E.","2","",,,,,2,,,,,
"Youfeng Wu","WU, Y.","3","",,,,,2,,,,,
"Cheng Wang","WANG, C.","4","",,,,,2,,,,,
"Edson Borin","BORIN, E.","1","",,,,,3,,,,,
"Youfeng Wu","WU, Y.","2","",,,,,3,,,,,
"Edson Borin","BORIN, E.","1","",,,,,4,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","2","",,,,,4,,,,,
"Nir Bone","BONE, N.","3","",,,,,4,,,,,
"Shlomo Avni","AVNI, S.","4","",,,,,4,,,,,
"Youfeng Wu","WU, Y.","1","",,,,,5,,,,,
"Shiliang Hu","HU, S.","2","",,,,,5,,,,,
"Edson Borin","BORIN, E.","3","",,,,,5,,,,,
"Cheng Wang","WANG, C.","4","",,,,,5,,,,,
"Rafael Auler","AULER, R.","1","5072043911907640",,,,,6,,,,,
"Edson Borin","BORIN, E.","2","",,,,,6,,,,,
"Rodolfo Jardim de Azevedo","AZEVEDO, R. J.","3","",,,,,6,,,,,
"Bruno Cardoso Lopes","LOPES, B. C.","4","",,,,,6,,,,,
"Cheng Wang","WANG, C.","1","",,,,,7,,,,,
"Edson Borin","BORIN, E.","2","",,,,,7,,,,,
"Youfeng Wu","WU, Y.","3","",,,,,7,,,,,
"Shiliang Hu","HU, S.","4","",,,,,7,,,,,
"Wei Liu","LIU, W.","5","",,,,,7,,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","6","",,,,,7,,,,,
"Edson Borin","BORIN, E.","1","",,,,,,0,,,,
"Cheng Wang","WANG, C.","2","",,,,,,0,,,,
"Youfeng Wu","WU, Y.","3","",,,,,,0,,,,
"Edson Borin","BORIN, E.","1","",,,,,,1,,,,
"Youfeng Wu","WU, Y.","2","",,,,,,1,,,,
"Edson Borin","BORIN, E.","1","",,,,,,2,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","2","",,,,,,2,,,,
"Nir Bone","BONE, N.","3","",,,,,,2,,,,
"Shlomo Avni","AVNI, S.","4","",,,,,,2,,,,
"Cheng Wang","WANG, C.","1","",,,,,,3,,,,
"Edson Borin","BORIN, E.","2","",,,,,,3,,,,
"Youfeng Wu","WU, Y.","3","",,,,,,3,,,,
"Shiliang Hu","HU, S.","4","",,,,,,3,,,,
"Wei Liu","LIU, W.","5","",,,,,,3,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","6","",,,,,,3,,,,
"Youfeng Wu","WU, Y.","1","",,,,,,4,,,,
"Shiliang Hu","HU, S.","2","",,,,,,4,,,,
"Edson Borin","BORIN, E.","3","",,,,,,4,,,,
"Cheng Wang","WANG, C.","4","",,,,,,4,,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","5","",,,,,,4,,,,
"Wei Liu","LIU, W.","6","",,,,,,4,,,,
"Edson Borin","BORIN, E.","1","",,,,,,,0,,,
"Cheng Wang","WANG, C.","2","",,,,,,,0,,,
"Youfeng Wu","WU, Y.","3","",,,,,,,0,,,
"Guido Araújo","ARAUJO, G.","4","8683914780987242",,,,,,,0,,,
"Divino César Soares Lucas","LUCAS, D. C. S.","1","5784915197936745",,,,,,,1,,,
"Rafael Dalibera","DALIBERA, R.","2","",,,,,,,1,,,
"Rafael Auler","AULER, R.","3","5072043911907640",,,,,,,1,,,
"Guido Araújo","ARAUJO, G.","4","8683914780987242",,,,,,,1,,,
"Sandro Rigo","RIGO, S.","5","8308517667746974",,,,,,,1,,,
"Edson Borin","BORIN, E.","6","",,,,,,,1,,,
"Edson Borin","BORIN, E.","1","",,,,,,,2,,,
"Edson Borin","BORIN, E.","1","",,,,,,,3,,,
"Edson Borin","BORIN, E.","1","",,,,,,,4,,,
"Youfeng Wu","WU, Y.","2","",,,,,,,4,,,
"Edson Borin","BORIN, E.","1","",,,,,,,5,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","2","",,,,,,,5,,,
"Youfeng Wu","WU, Y.","3","",,,,,,,5,,,
"Guido Araujo","ARAUJO, G.","4","8683914780987242",,,,,,,5,,,
"Carlos Millani","MILLANI, C.","1","",,,,,,,6,,,
"Alisson Linhares","LINHARES, A.","2","",,,,,,,6,,,
"Rafael Auler","AULER, R.","3","5072043911907640",,,,,,,6,,,
"Edson Borin","BORIN, E.","4","",,,,,,,6,,,
"Daniel Carlos Guimarães Pedronette","PEDRONETTE, D. C. G.","1","3363615000303340",,,,,,,7,,,
"Ricardo da Silva Torres","TORRES, R. S.","2","3790201696145434",,,,,,,7,,,
"Edson Borin","BORIN, E.","3","",,,,,,,7,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","4","",,,,,,,7,,,
"Edson Borin","BORIN, E.","1","",,,,,,,8,,,
"Youfeng Wu","WU, Y.","2","",,,,,,,8,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",,,,,,,8,,,
"Cheng Wang","WANG, C.","4","",,,,,,,8,,,
"Edson Borin","BORIN, E.","1","",,,,,,,9,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.","2","6051486998967925",,,,,,,9,,,
"Edson Borin","BORIN, E.","1","",,,,,,,10,,,
"Guido Araujo","ARAUJO, G.","2","8683914780987242",,,,,,,10,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","3","",,,,,,,10,,,
"Youfeng Wu","WU, Y.","4","",,,,,,,10,,,
"Edson Borin","BORIN, E.","1","",,,,,,,11,,,
"Youfeng Wu","WU, Y.","2","",,,,,,,11,,,
"Cheng Wang","WANG, C.","3","",,,,,,,11,,,
"Wei Liu","LIU, W.","4","",,,,,,,11,,,
"Mauricio Breternitz Jr.","BRETERNITZ JR., M","5","",,,,,,,11,,,
"Shiliang Hu","HU, S.","6","",,,,,,,11,,,
"Esfir Natanzon","NATANZON, ESFIR","7","",,,,,,,11,,,
"Shai Rotem","ROTEM, SHAI","8","",,,,,,,11,,,
"Roni Rosner","ROSNER, RONI","9","",,,,,,,11,,,
"Caian Benedicto","BENEDICTO, C.","1","",,,,,,,12,,,
"Edson Borin","BORIN, E.","2","",,,,,,,12,,,
"Philippe Remy Bernard Devloo","DEVLOO, P. R. B.","3","6051486998967925",,,,,,,12,,,
"Edson Borin","BORIN, E.","1","",,,,,,,13,,,
"Rafael Auler","AULER, R.","2","5072043911907640",,,,,,,13,,,
"Edson Borin","BORIN, E.","1","",,,,,,,14,,,
"Cheng Wang","WANG, C.","2","",,,,,,,14,,,
"Youfeng Wu","WU, Y.","3","",,,,,,,14,,,
"Guido Araujo","ARAUJO, G.","4","8683914780987242",,,,,,,14,,,
"Edson Borin","BORIN, E.","1","",,,,,,,15,,,
"Felipe Klein","KLEIN, F.","2","1606941011950531",,,,,,,15,,,
"Nahri Moreano","MOREANO, N.","3","7109611749276343",,,,,,,15,,,
"Rodolfo Azevedo","AZEVEDO, R.","4","2046981671187343",,,,,,,15,,,
"Guido Araujo","ARAUJO, G.","5","8683914780987242",,,,,,,15,,,
"Paulo Castro","CASTRO, P.","1","",,,,,,,16,,,
"Edson Borin","BORIN, E.","2","",,,,,,,16,,,
"Rodolfo Azevedo","AZEVEDO, R.","3","2046981671187343",,,,,,,16,,,
"Guido Araujo","ARAUJO, G.","4","8683914780987242",,,,,,,16,,,
"Edson Borin","BORIN, E.","1","",,,,,,,17,,,
"Youfeng Wu","WU, Y.","2","",,,,,,,17,,,
"Edson Borin","BORIN, E.","1","",,,,,,,,0,,
"Raul Baldin","BALDIN, R.","2","",,,,,,,,0,,
"Edson Borin","BORIN, E.","1","",,,,,,,,1,,
"Equipe Phoenix","PHOENIX, E.","2","",,,,,,,,1,,
"Edson Borin","BORIN, E.","1","",,,,,,,,2,,
"Edson Borin","BORIN, E.","1","",,,,,,,,,0,
"Rafael Auler","AULER, R.","2","5072043911907640",,,,,,,,,0,
"Edson Borin","BORIN, E.","1","",,,,,,,,,,0
"Edson Borin","BORIN, E.","1","",,,,,,,,,,1
"Anne Holler","Holler, Anne","1","",,,,,,,,,,2
"Edson Borin","BORIN, E.","2","",,,,,,,,,,2
"Uma Srinivasan","Srinivasan, Uma","3","",,,,,,,,,,2
"Edson Borin","BORIN, E.","1","",,,,,,,,,,3
"Rick McGeer","Rick McGeer","2","",,,,,,,,,,3
"Sally A. McKee","Sally A. McKee","3","",,,,,,,,,,3
"Edson Borin","BORIN, E.","1","",,,,,,,,,,4
"Naveen Neelakantam","NEELAKANTAM, N.","2","",,,,,,,,,,4
"Sally McKee","MCKEE, S.","3","",,,,,,,,,,4
"Rick McGeer","Rick McGeer","4","",,,,,,,,,,4
"Rodolfo Azevedo","AZEVEDO, R.","1","2046981671187343",,,,,,,,,,5
"Edson Borin","BORIN, E.","2","",,,,,,,,,,5
"Hermes Senger","SENGER, H.","3","",,,,,,,,,,5
"Sandro Rigo","RIGO, S.","4","8308517667746974",,,,,,,,,,5
"Luiz Fernando Bittencourt","BITTENCOURT, L. F.","5","",,,,,,,,,,5
"Edson Borin","BORIN, E.","1","",,,,,,,,,,6
"Andrea Charão","CHARAO, A.","2","",,,,,,,,,,6
"Mario Antonio Ribeiro Dantas","DANTAS, M. A. R.","1","",,,,,,,,,,7
"Edson Borin","BORIN, E.","2","",,,,,,,,,,7
"Viktor K. Prasanna","PRASANNA, V. K.","3","",,,,,,,,,,7
"Edson Borin","BORIN, E.","1","",,,,,,,,,,8
"Jean-Luc Gaudiot","GAUDIOT, J.","2","",,,,,,,,,,8
"Viktor K. Prasanna","PRASANNA, V. K.","3","",,,,,,,,,,8
"Edson Borin","BORIN, E.","1","",,,,,,,,,,9
