DESCRICAO-INFORMACOES-ADICIONAIS,DESCRICAO-INFORMACOES-ADICIONAIS-INGLES,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,EDITORACAO_Id,ORGANIZACAO-DE-EVENTO_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,BANCA-JULGADORA-PARA-LIVRE-DOCENCIA_Id
"data de defesa 23/5/2013","",,,,,,27,,,,,,,
"data de defesa: 22/11/2012 Banca: Patrick Brito IC-UFAL, Ariadne Carvalho IC-UNICAMP, C.M.F.Rubira (presidente)","",,,,,,28,,,,,,,
"data da defesa: 13/12/2013
Banca examinadora: C.M.F.Rubira (presidente) - UNICAMP, Patrick H. S.Brito (UFAL), Ariadne Carvalho (UNICAMP).","",,,,,,29,,,,,,,
"data de defesa: 14/12/2012 Banca: Rosana Vaccare ICMC-USP, Eliane martins UNICAMP, C.M.F.Rubira (presidente)","",,,,,,30,,,,,,,
"data da defesa: 1/8/2014
banca examinadora:
Cecília Mary Fischer Rubira (orientadora) - IC/UNICAMP
Marco Paulo Vieira - DEI/Universidade de Coimbra, Portugal
Eliane Martins - IC/UNICAMP","",,,,,,31,,,,,,,
"Data: 2/9/2016
Banca:
Cecília Mary Fischer Rubira - IC/UNICAMP
Leonardo Pondian Tizzei - IBM
Eliane Martins - IC/UNICAMP","",,,,,,32,,,,,,,
"Data: 7/12/2016 
Banca:
Cecilia Mary Fischer Rubira - IC/UNICAMP (presidente)
Delano Medeiros Beder - DC/UFSCar
Eliane Martins - IC/UNICAMP","",,,,,,37,,,,,,,
"data de defesa: 28/7/2006","",,,,,,38,,,,,,,
"data de defesa: 30/11/2006
Processo Fapesp no.02/13996-2
doutorado direto, início: março/2002","",,,,,,,1,,,,,,
"Data de defesa: 15 de maio de 2009.","",,,,,,,2,,,,,,
"data de defesa: 6 de julho de 2012, Banca: V.Alves, A.Garcia, E.Martins,I.Ricarte.","",,,,,,,3,,,,,,
"Título: Estudos Empíricos sobre Evolução de Arquiteturas de Linhas de Produtos Baseadas em Componentes e Aspectos
Início: 01/03/2013 Fim: 20/05/2013","",,,,,,,,0,,,,,
"Processo:    500961/2013-1
Vigência:    01/08/2013 a 31/07/2014","",,,,,,,,1,,,,,
"IME-USP, data: 29/9/2006","",,,,,,,,,15,,,,
"data da defesa: 13/12/2013","",,,,,,,,,22,,,,
"data da defesa: 23/5/2013","",,,,,,,,,23,,,,
"data de defesa: 17/12/2012","",,,,,,,,,24,,,,
"data da defesa: 14/12/2012","",,,,,,,,,25,,,,
"data de defesa: 22/11/2012","",,,,,,,,,26,,,,
"data de defesa: 8/10/2012","",,,,,,,,,27,,,,
"data de defesa: 20/12/2010","",,,,,,,,,28,,,,
"data de defesa: 27/8/2010","",,,,,,,,,29,,,,
"data de defesa: 17/3/2010","",,,,,,,,,30,,,,
"Data de defesa: 23/2/2010","",,,,,,,,,31,,,,
"Orientadora: Eliane Martins
Co-orientador: Henrique Madeira","",,,,,,,,,,4,,,
"Presidente da banca e orientadora: C.M.F.Rubira
data da defesa: 30/11/2006","",,,,,,,,,,5,,,
"dia da defesa: 15/10/2013","",,,,,,,,,,8,,,
"3/9/2010","",,,,,,,,,,10,,,
"data do exame: 13/12/2006","",,,,,,,,,,,4,,
"data do exame: 5/10/2006
presidente da banca: P.C.Masiero
orientadora:Renata Fortes","",,,,,,,,,,,5,,
"6/8/2009","",,,,,,,,,,,7,,
"30/6/2009","",,,,,,,,,,,8,,
"data da defesa: 25/4/2013","",,,,,,,,,,,9,,
"data da defesa: 21/10/2010","",,,,,,,,,,,10,,
"data de defesa: 27/7/2010","",,,,,,,,,,,11,,
"7-9 de maio de 2008.","",,,,,,,,,,,,2,
"4-7/11/2013","",,,,,,,,,,,,5,
"15-18/10/2012","",,,,,,,,,,,,6,
"6-7/4/2011","",,,,,,,,,,,,,0
"16-17/2/2011","",,,,,,,,,,,,,1
"3-5/7/2013","",,,,,,,,,,,,,2
