NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,CAPITULO-DE-LIVRO-PUBLICADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,TRABALHO-TECNICO_Id,CURSO-DE-CURTA-DURACAO-MINISTRADO_Id
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","4","1114037512202812",26,,,,,,
"Maria Carolina de Azevedo Ferreira de Souza","SOUZA, M. C. A. F.","1","2252148601836019",27,,,,,,
"L. Mazzali","MAZZALI, L.","2","6956578887896594",27,,,,,,
"Miguel Juan Bacic","BACIC, M. J.","3","8997803246951593",27,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","4","7916021882928474",27,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",28,,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","2","1114037512202812",28,,,,,,
"Paula Sarita Schnaider","SCHNAIDER, P. S.","3","7036151455455373",28,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",29,,,,,,
"BRUNA DE CASTRO MELO","MELO, B. C.","2","",29,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.;SILVEIRA, RODRIGO LANNA FRANCO DA;DA SILVEIRA, RODRIGO LANNA FRANCO;SILVEIRA, RODRIGO L. F.;DA SILVEIRA, RODRIGO LANNA F.;SILVEIRA, RODRIGO LANNA F. DA","1","7916021882928474",30,,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","2","1114037512202812",30,,,,,,
"Paula Sarita Schnaider","SCHNAIDER, P. S.","3","7036151455455373",30,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",31,,,,,,
"Leandro S. Maciel","Leandro S. Maciel","2","8223366539713305",31,,,,,,
"Rosangela Ballini","BALLINI, R.","3","1766558858445284",31,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",32,,,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","2","6178330814144839",32,,,,,,
"Caroline Acosta Lezcano Foscaches","FOSCACHES, C. A. L.","3","1620348717944459",32,,,,,,
"Thiago B. Carvalho","CARVALHO, T. B.","4","",32,,,,,,
"Maria Sylvia Macchione Saes","Saes, Maria Sylvia Macchione","5","1114037512202812",32,,,,,,
"Fabio L. Mattos","MATTOS, F. L.","1","",33,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",33,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",34,,,,,,
"Fabio L. Mattos","MATTOS, F. L.","2","",34,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","1","",35,,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","2","",35,,,,,,
"Fabiano Guasti Lima","LIMA, F. G.","3","",35,,,,,,
"MARCELO JOSÉ CARRER","CARRER, M. J.","1","6178330814144839",36,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","2","",36,,,,,,
"HILDO MEIRELLES DE SOUZA FILHO","SOUZA FILHO, H. M.","3","3740950346967524",36,,,,,,
"Fabiana Ribeiro Rossi","ROSSI, F. R.","4","",36,,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","1","",37,,,,,,
"Celio Hiratuka","HIRATUKA, C.","2","",37,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",37,,,,,,
"Fabiano Guasti Lima","LIMA, F. G.","1","",38,,,,,,
"Camila Veneo Campos Fonseca","FONSECA, C. V. C.","2","",38,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",38,,,,,,
"José César Cruz Júnior.","JUNIOR., J. C. C.","1","0086426315229286",39,,,,,,
"Daniel H. D. Capitani","CAPITANI, D. H. D.","2","",39,,,,,,
"Rodrigo Lanna Franco da Silveira","SILVEIRA, R. L. F.","3","",39,,,,,,
"Fabiana Perobelli Urso","URSO, F. P.","4","",39,,,,,,
