SETOR-DE-ATIVIDADE-1,SETOR-DE-ATIVIDADE-2,SETOR-DE-ATIVIDADE-3,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Eletricidade, gás e outras utilidades","","",,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,153,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,156,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","Educação","",,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Energia","","",,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Produção e Distribuição de Energia Elétrica","","",,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, Gás e Água Quente","","",,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,25,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,33,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Eletricidade, gás e outras utilidades","","",,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,
