NOME-COMPLETO-DO-AUTOR,NOME-PARA-CITACAO,ORDEM-DE-AUTORIA,NRO-ID-CNPQ,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,DEMAIS-TRABALHOS_Id
"Afonso José do Prado","PRADO, Afonso José Do","5","7870647855005820",66,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",67,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",67,,,,,,,,,,,,,,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","3","2755740550497444",67,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","4","7870647855005820",67,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",68,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",68,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",69,,,,,,,,,,,,,,,
"Michel Gonçalves Pinheiro","PINHEIRO, Michel Gonçalves","2","",69,,,,,,,,,,,,,,,
"Afonso José do Prado","PRADO, Afonso José Do","1","7870647855005820",70,,,,,,,,,,,,,,,
"Sergio Kurokawa","KUROKAWA, Sergio","2","4830845230549223",70,,,,,,,,,,,,,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",70,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","4","3674511692669753",70,,,,,,,,,,,,,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","5","3563809681641435",70,,,,,,,,,,,,,,,
"Alexander Vladimir Elguera","ELGUERA, Alexander Vladimir","1","",71,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",71,,,,,,,,,,,,,,,
"Alexander Vladimir Elguera","ELGUERA, Alexander Vladimir","1","",72,,,,,,,,,,,,,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",72,,,,,,,,,,,,,,,
