PALAVRA-CHAVE-1,PALAVRA-CHAVE-2,PALAVRA-CHAVE-3,PALAVRA-CHAVE-4,PALAVRA-CHAVE-5,PALAVRA-CHAVE-6,MESTRADO_Id,DOUTORADO_Id,LIVRE-DOCENCIA_Id,TRABALHO-EM-EVENTOS_Id,ARTIGO-PUBLICADO_Id,LIVRO-PUBLICADO-OU-ORGANIZADO_Id,TEXTO-EM-JORNAL-OU-REVISTA_Id,OUTRA-PRODUCAO-BIBLIOGRAFICA_Id,ARTIGO-ACEITO-PARA-PUBLICACAO_Id,SOFTWARE_Id,PATENTE_Id,PRODUTO-TECNOLOGICO_Id,PROCESSOS-OU-TECNICAS_Id,TRABALHO-TECNICO_Id,APRESENTACAO-DE-TRABALHO_Id,ORGANIZACAO-DE-EVENTO_Id,PROGRAMA-DE-RADIO-OU-TV_Id,MIDIA-SOCIAL-WEBSITE-BLOG_Id,ORIENTACOES-CONCLUIDAS-PARA-MESTRADO_Id,ORIENTACOES-CONCLUIDAS-PARA-DOUTORADO_Id,ORIENTACOES-CONCLUIDAS-PARA-POS-DOUTORADO_Id,OUTRAS-ORIENTACOES-CONCLUIDAS_Id,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id,PARTICIPACAO-EM-CONGRESSO_Id,PARTICIPACAO-EM-SEMINARIO_Id,PARTICIPACAO-EM-OFICINA_Id,PARTICIPACAO-EM-ENCONTRO_Id,ORIENTACAO-EM-ANDAMENTO-DE-MESTRADO_Id,ORIENTACAO-EM-ANDAMENTO-DE-DOUTORADO_Id
"Linha de Transmissao","potência natural elevada","feixes não convencionais","","","",,,,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","Linha de Transmissao","quadripolo","reator de neutro","","",,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","otimização da transmissão","linha de transmissão","estatística","","",,,,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"linha não convencional","meia onda","longa distância","transitório eletromagnético","","",,,,127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção","longa distância","meia onda","linha de transmissão","","",,,,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meia onda","longa distância","linha de transmissão","","","",,,,129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meia onda","longa distância","linha de transmissão","transitório eletromagnético","","",,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção","meia onda","longa distância","Linha de Transmissao","falta trifásica","proteção distância",,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção","meia onda","longa distância","linha de transmissão","falta monofásica","",,,,132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energização de linha","estatística","","","","",,,,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção","meia onda","","","","",,,,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"longa distância","transmissão a longa distância","fluxo de potência","","","",,,,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão em meio comprimento de onda","transmissão a longa distância","transitórios eletromagnéticos","energização","","",,,,136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão em meio comprimento de onda","falta monofásica","energização","transitorios eletromagnéticos","","",,,,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","linha de transmissão","otimização de linha","","","",,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco secundário","arco elétrico","Modelagem","condutância","capacitância","",,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"meia onda","transmissão em meio comprimento de onda","transmissão a longa distância","falta trifásica","transitórios eletromagnéticos","",,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção diferencial de transformador","simulador em tempo real","RTDS","Modelagem","rele","",,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","religamento controlado","simulador em tempo real","RTDS","Harmônicos","",,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão em meio comprimento de onda","transmissão a longa distância","transitórios eletromagnéticos","linha compensada","","",,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento trifásico","religamento controlado","falta monofásica","linha compensada","","",,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"arco elétrico","arco secundário","religamento monopolar","Modelagem","condutância","",,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"proteção distância","transmissão em meio comprimento de onda","transmissão a longa distância","","","",,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energização de transformador","ferro-ressonância","","","","",,,,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"transmissão em meio comprimento de onda","transmissão a longa distância","falta trifásica","modelagem de linhas","","",,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"energização de transformador","análise harmônica","saturação","varredura na freqüência","","",,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"rele","Harmônicos","RTDS","modulação","","",,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"religamento monopolar","proteção adaptativa","conteúdo harmônico","","","",,,,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
