SEQUENCIA-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT,TIPO-PRODUCAO-CT,TITULO-DA-PRODUCAO-CT-INGLES,PRODUCOES-CT-DO-PROJETO_Id
"331","Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único","Artigo publicado em periódicos(Completo)","Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único",4
"340","Transient Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",4
"342","Attending Small Loads along a Half-Wavelength Transmission Line","Trabalho publicado em anais de eventos(Completo)","",4
"359","UTILIZAÇÃO DE LINHAS DE TRANSMISSÃO SEMELHANTES NO ENSAIO DE ENERGIZAÇÃO DE UM TRONCO COM POUCO MAIS DE MEIO COMPRIMENTO DE ONDA","Participação em banca de trabalhos de conclusão(Mestrado)","",4
"368","Análise da Utilização de Linhas de Transmissão Semelhantes no Ensaio de Energização de Linha de um Pouco Mais de Meio Comprimento de Onda","Trabalho publicado em anais de eventos(Completo)","",4
"370","Análise da Utilização de Linhas de Transmissão Semelhantes no Ensaio de Energização de Linha de um Pouco Mais de Meio Comprimento de Onda","Participações em eventos(Congresso)","",4
"378","Sistema barateia transporte de energia elétrica","Jornal de notícias","",4
"381","Sistema barateia transporte de energia elétrica","Jornal de notícias","",4
"382","Sistema barateia transporte de energia elétrica","Jornal de notícias","",4
"398","Uso de linhas semelhantes para o ensaio da manobra de energização do Elo CA","Programa de rádio ou tv(Entrevista)","Uso de linhas semelhantes para o ensaio da manobra de energização do Elo CA",4
"400","Energization of a Half-Wavelength Transmission Line - Pre-Operational Transients Studies","Participações em eventos(Congresso)","",4
"402","Energization of a Half-Wavelength Transmission Line - Pre-Operational Transients Studies","Trabalho publicado em anais de eventos(Completo)","",4
"403","Protection Scheme Half Wavelength Transmission Trunk Using Conventional Relay","Trabalho publicado em anais de eventos(Completo)","",4
"409","Energization of the Half-Wavelength Transmission Trunk Considering the Occurrence of Single Phase Fault","Trabalho publicado em anais de eventos(Completo)","",4
"410","Electromagnetic Transients Studies Related to Energization of a Half-Wavelength Transmission Line","Trabalho publicado em anais de eventos(Completo)","",4
"411","Using of Conventional Relays for Protecting Half-Wavelength Transmission Line from Three-Phase Faults","Trabalho publicado em anais de eventos(Completo)","",4
"412","Protection Scheme for Single-Phase Fault along a Half Wavelength Transmission Trunk Using Conventional Relay","Trabalho publicado em anais de eventos(Completo)","",4
"278","Variação da Condutividade e Permissividade do Solo com a Freqüência: Influência na Admitância Transversal da Linha de Transmissão - Análise para Caso de um Único Condutor","Trabalho publicado em anais de eventos(Completo)","",5
"279","Religamento Tripolar: Comparação de Métodos de Redução de Sobretensões","Trabalho publicado em anais de eventos(Completo)","",5
"280","Conceitos Fundamentais da Transmissão em um Pouco mais de Meio Comprimento de Onda","Trabalho publicado em anais de eventos(Completo)","",5
"284","Otimização Do Reator De Neutro Para Minimizar Corrente De Arco Secundário Através Da Resposta Sustentada De Sistema Elétrico Desequilibrado Utilizando Quadripolos Trifásicos","Trabalho publicado em anais de eventos(Completo)","",5
"285","Estudo do comportamento transitório da linha de um pouco mais de meio comprimento de onda submetida a manobras usuais","Trabalho publicado em anais de eventos(Completo)","",5
"302","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",5
"303","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","Trabalho publicado em anais de eventos(Completo)","",5
"306","Influence of Transversal Parameters of a Transmission System on the Secondary Arc Current Reduction during SPAR","Participações em eventos(Congresso)","",5
"312","Reducción de las Máximas Corrientes de Arco Secundario para Sistemas de Transmisión Típicos durante la Maniobra de Abertura Monopolar","Trabalho publicado em anais de eventos(Completo)","",5
"313","Influence of Transversal Parameters of a Transmission System on the Secondary Arc Current Reduction during SPAR","Trabalho publicado em anais de eventos(Completo)","",5
"314","Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",5
"315","Estimation of Length Variation of Artificially Generated Electrical Arc in Out-Door Experiment","Trabalho publicado em anais de eventos(Completo)","",5
"316","Transient Performance Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","Trabalho publicado em anais de eventos(Completo)","",5
"317","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","Participações em eventos(Congresso)","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines",5
"318","Analysis of the Energization Test of a Half-Wavelength AC Link Composed of Similar Transmission Lines","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",5
"319","Analysis of an Isolated Half-Wavelength Transmission Line Submitted to Switching Maneuvers","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",5
"320","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor Compensated Transmission Lines","Participações em eventos(Congresso)","",5
"321","Implementation and Performance Evaluation of a Reclosing Method for Shunt Reactor Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",5
"322","Real Time Digital Simulation to Performance Evaluation of an Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Participações em eventos(Congresso)","",5
"323","Real Time Digital Simulation to Performance Evaluation of an Adaptive Three-Phase Autoreclosing Method for Compensated Transmission Lines","Trabalho publicado em anais de eventos(Completo)","",5
"325","Transient Analysis on Overhead Transmission Line Considering the Frequency Dependent Soil Representation","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",5
"327","Attending Small Loads along a Half-Wavelength Transmission Line","PRODUCAO_TECNICA_APRESENTACAO_DE_TRABALHO_CONFERENCIA","",5
"329","Attending Small Loads along a Half-Wavelength Transmission Line","Participações em eventos(Congresso)","",5
"330","Controle adaptativo para religamento tripolar aplicado a linhas de transmissão com compensação reativa em derivação","Participação em banca de trabalhos de conclusão(Doutorado)","",5
"331","Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único","Artigo publicado em periódicos(Completo)","Influência da dependência de parâmetros do solo com a frequência na modelagem de linhas aéreas de transmissão: caso de condutor único",5
"332","Avaliação do comprimento de arcos elétricos gerados artificialmente através de técnicas de visão computacional","Participações em eventos(Seminário)","",5
