NOME-COMPLETO-DO-PARTICIPANTE-DA-BANCA,NOME-PARA-CITACAO-DO-PARTICIPANTE-DA-BANCA,ORDEM-PARTICIPANTE,NRO-ID-CNPQ,PARTICIPACAO-EM-BANCA-DE-MESTRADO_Id,PARTICIPACAO-EM-BANCA-DE-DOUTORADO_Id,PARTICIPACAO-EM-BANCA-DE-EXAME-QUALIFICACAO_Id,BANCA-JULGADORA-PARA-CONCURSO-PUBLICO_Id,OUTRAS-BANCAS-JULGADORAS_Id
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","1","",,17,,,
"Guilherme Gonçalves Sotelo","Sotelo, Guilherme Gonçalves","4","",,17,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,17,,,
"Sandoval Carneiro Filho","CARNEIRO FILHO, Sandoval","1","",,18,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","2","",,18,,,
"José Luiz Rezende Pereira","Pereira, José Luiz Rezende","3","",,18,,,
"Pedro Gomes Barbosa","Brabosa, Pedro Gomes","4","",,18,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","5","3674511692669753",,18,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","3","",,19,,,
"Alessandra Camara","Camara, Alessandra","2","",,19,,,
"Neucimar Jerônimo Leite","Leite, Neucimar J.","4","",,19,,,
"Fabio Kurt Schneider","Schneider, Fabio K.","5","",,19,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,19,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","1","",,20,,,
"Gilmar","Barreto, GILMAR","3","",,20,,,
"Geomar Machado Martins","MARTINS, G. M.","4","",,20,,,
"Ricardo Quadros Machado","MACHADO, R. Q.","5","",,20,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,20,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","2","3537147442008055",,21,,,
"Patrícia Mestas Valero","VALERO, Patrícia Mestas","3","5092857787801476",,21,,,
"Luis Carlos Pereira da Silva","SILVA, Luis Carlos Pereira da","5","",,21,,,
"Alessandra Camara","Camara, Alessandra","4","",,21,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,21,,,
"José Pissolato Filho","PISSOLATO FILHO, José","3","7870647855005820",,22,,,
"Ernesto Ruppert Filho","RUPPERT FILHO, Ernesto","1","",,22,,,
"Domingos Savio Lyrio Simonetti","SIMONETTI, D. S. L.","4","",,22,,,
"Silvio Ikuyo Nabeta","NABETA, S. I.","5","",,22,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,22,,,
"Marcos de Araujo Paz","PAZ, Marcos de Araujo","2","3537147442008055",,23,,,
"Fernando Augusto Moreira","Moreira, Fernando Augusto","3","8068628216980918",,23,,,
"kleber melo e silva","SILVA, K. M.","4","",,23,,,
"eduardo cesar senger","SENGER, E. C.","5","",,23,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,23,,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","1","",,24,,,
"Robson Francisco da Silva Dias","DIAS, R. F. S.","2","",,24,,,
"Alberto Resende de Conti","CONTI, A. R.","4","",,24,,,
"Mauricio Valência Ferreira da Luz","LUZ, M. V. F.","5","",,24,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",,24,,,
"Mario Oleskovisk","OLESKOVISK, Mario","2","",,25,,,
"Carlos Alberto de Castro Junior","CASTRO JUNIOR, C. A.","4","",,25,,,
"eduardo cesar senger","SENGER, E. C.","3","",,25,,,
"Daniel Dotta","DOTTA, D.","5","",,25,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,25,,,
"Carson Woo","WOO, C.","1","",,26,,,
"José Marti","MARTI, J.","2","",,26,,,
"Hermann Dommel","DOMMEL, H.","3","",,26,,,
"Juri Jatskevich","JATSKEVICH, J.","4","",,26,,,
"John Madden","MADDEN, J.","5","",,26,,,
"Mayden Nagata","NAGATA, M.","6","",,26,,,
"Taku Noda","NODA, T.","8","",,26,,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","7","3674511692669753",,26,,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",,,0,,
"Maurício Aredes","AREDES, Maurício","3","",,,0,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,0,,
"Edson Guedes da Costa","COSTA, Edson Guedes da","3","",,,1,,
"Jacques Szczupak","SZCZUPAK, Jacques","4","",,,1,,
"Benemar Alencar de Souza","SOUZA, Benemar Alencar de","5","",,,1,,
"Antônio Marcus Nogueira Lima","LIMA, A. M. N.","1","",,,1,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,1,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,,2,,
"Nelson Martins","MARTINS, Nelson","5","",,,2,,
"AntonioCarlos Siqueira de Lima","LIMA, Antoniocarlos Siqueira de","3","",,,2,,
"Silvério Visacro Filho","VISACRO FILHO, Silvério","4","",,,2,,
"Sergio Gomes Junior","GOMES JUNIOR, Sergio","6","",,,2,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,2,,
"Maurício Aredes","AREDES, Maurício","3","",,,3,,
"edson watanabe","WATANABE, Edson","2","",,,3,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","4","",,,3,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,3,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,,4,,
"edson watanabe","WATANABE, Edson","3","",,,4,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,4,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,,5,,
"Luiz Pereira Calôba","Calôba, Luiz Pereira","3","",,,5,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,5,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","1","3563809681641435",,,6,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","2","",,,6,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",,,6,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",,,7,,
"AntonioCarlos Siqueira de Lima","LIMA, Antoniocarlos Siqueira de","1","",,,7,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",,,7,,
"Walmir Freitas Filho","Freitas Filho, W.","2","",,,8,,
"Madson Cortes de Almeida","Almeida, M. C.","3","",,,8,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,8,,
"João Bosco Gertrudes","GERTRUDES, João Bosco","3","2755740550497444",,,9,,
"Madson Cortes de Almeida","Almeida, M. C.","2","",,,9,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,9,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","1","",,,10,,
"Robson Francisco da Silva Dias","DIAS, R. F. S.","3","",,,10,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,10,,
"Carlos Medeiros Portela","PORTELA, Carlos Medeiros","2","3563809681641435",,,11,,
"Maurício Aredes","AREDES, Maurício","3","",,,11,,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,11,,
"Antônio Carlos Siqueira de Lima","LIMA, Antônio Carlos Siqueira de","2","",,,,0,
"Tatiana Mariano Lessa de Assis","T. M. L. Assis","3","",,,,0,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,0,
"anésio dos santos junior","SANTOS JUNIOR, A.","1","",,,,1,
"gilmar barreto","BARRETO, G.","2","",,,,1,
"Fernando Luiz Marcelo Antunes","ANTUNES, F. L. M.","4","",,,,1,
"Arnaldo Perin","PERIN, A.","5","",,,,1,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","3","3674511692669753",,,,1,
"anésio dos santos junior","SANTOS JUNIOR, A.","1","",,,,2,
"Carlos Alberto de Castro Junior","CASTRO JUNIOR, C. A.","3","",,,,2,
"Richard Magdalena Stephan","STEPHAN, R. M.","4","",,,,2,
"Antonio José Alves Simões Costa","COSTA, A. J. A. S.","5","",,,,2,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,,2,
"Walmir Freitas Filho","Freitas Filho, W.","2","",,,,3,
"Glauco Taranto","Taranto, G.","3","",,,,3,
"Rafael Mendes","MENDES, R.","4","",,,,3,
"Luiz Fernando Costa Alberto","ALBERTO, L. F. C.","5","",,,,3,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,3,
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,0
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,1
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,2
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,3
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,4
"Fernando Augusto Moreira","Moreira, Fernando Augusto","3","8068628216980918",,,,,5
"Ângelo Amâncio Duarte","Duarte, Ângelo Amâncio","1","",,,,,5
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","2","3674511692669753",,,,,5
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,6
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,7
"Maria Cristina Dias Tavares","TAVARES, M. C.;Tavares, M.C.;Cristina Tavares, M.;Tavares, Maria C.;Tavares, Maria Cristina;Maria Cristina Tavares;Maria C. Tavares;C. Tavares, Maria;TAVARES, MARIA;M. C. Tavares","1","3674511692669753",,,,,8
